IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.37.57,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,48,33.6
47.242.54.157,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,44,32.23
47.76.37.57,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,43,14.64
8.210.39.96,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,37,11.36
8.218.243.95,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,44,10.88
8.210.48.107,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,43,10.82
47.237.92.26,8443,8443,TRUE,SIN,Asia Pacific,Singapore,212,17.59
52.74.170.123,443,443,TRUE,SIN,Asia Pacific,Singapore,79,11.83
47.236.146.249,2082,2082,FALSE,SIN,Asia Pacific,Singapore,212,11.37
8.219.163.195,8880,8880,FALSE,SIN,Asia Pacific,Singapore,209,11.19
8.219.4.122,8080,8080,FALSE,SIN,Asia Pacific,Singapore,212,11.14
47.236.146.249,8443,8443,TRUE,SIN,Asia Pacific,Singapore,214,11.03
8.219.201.245,2052,2052,FALSE,SIN,Asia Pacific,Singapore,210,10.97
8.222.156.242,2052,2052,FALSE,SIN,Asia Pacific,Singapore,212,10.76
8.219.97.50,2053,2053,TRUE,SIN,Asia Pacific,Singapore,214,10.63
8.219.139.13,2053,2053,TRUE,SIN,Asia Pacific,Singapore,210,10.6
47.237.83.20,80,80,FALSE,SIN,Asia Pacific,Singapore,217,10.46
47.236.87.246,2082,2082,FALSE,SIN,Asia Pacific,Singapore,213,10.09
103.20.199.88,30002,80,FALSE,NRT,Asia Pacific,Tokyo,90,32.23
103.20.199.241,22338,443,TRUE,NRT,Asia Pacific,Tokyo,84,22.95
103.20.199.101,30860,443,TRUE,NRT,Asia Pacific,Tokyo,84,18.6
43.153.181.217,80,80,FALSE,NRT,Asia Pacific,Tokyo,125,17.88
45.142.166.217,37351,443,TRUE,NRT,Asia Pacific,Tokyo,82,15.09
172.207.125.150,443,443,TRUE,NRT,Asia Pacific,Tokyo,109,13.62
45.66.130.112,56061,443,TRUE,NRT,Asia Pacific,Tokyo,85,13.62
185.184.223.19,59775,443,TRUE,NRT,Asia Pacific,Tokyo,84,12.86
141.98.197.101,11665,443,TRUE,NRT,Asia Pacific,Tokyo,83,12.55
109.107.137.22,44004,443,TRUE,NRT,Asia Pacific,Tokyo,84,11.49
8.219.66.156,80,80,FALSE,NRT,Asia Pacific,Tokyo,300,10.75
47.236.125.62,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,282,10.39
45.32.228.75,443,443,TRUE,SEA,North America,Seattle,220,12.26
23.94.212.4,443,443,TRUE,SEA,North America,Seattle,210,12
